order_id,order_date,customer_id,state,category,sub_category,product_id,price_per_unit,quantity,sale,seller_id
1,9/2/2021,CS101,Uttarakhand,Office Supplies,Paper,P1,8.23,2,16.45,3
2,8/25/2022,CS102,Chhattisgarh,Office Supplies,Labels,P2,3.93,3,11.78,3
3,9/29/2020,CS103,Haryana,Office Supplies,Storage,P3,90.91,3,272.74,8
4,11/1/2020,CS101,Tamil Nadu,Office Supplies,Binders,P4,1.77,2,3.54,3
5,10/13/2023,CS104,Meghalaya,Office Supplies,Art,P5,6.51,3,19.54,3
6,11/17/2020,CS105,Manipur,Office Supplies,Paper,P6,6.48,3,19.44,8
7,9/5/2022,CS106,Arunachal Pradesh,Office Supplies,Art,P7,4.26,3,12.78,5
8,11/20/2022,CS107,Manipur,Furniture,Chairs,P8,285.98,9,2573.82,10
9,3/13/2022,CS108,Telangana,Office Supplies,Binders,P9,304.99,2,609.98,6
10,9/1/2021,CS109,Uttar Pradesh,Office Supplies,Art,P10,2.74,2,5.48,6
11,1/3/2022,CS110,Madhya Pradesh,Technology,Phones,P11,195.99,2,391.98,8
12,4/19/2023,CS111,Rajasthan,Technology,Phones,P12,188.99,4,755.96,6
13,10/5/2023,CS112,Madhya Pradesh,Office Supplies,Fasteners,P13,7.78,4,31.12,3
14,7/3/2022,CS113,Himachal Pradesh,Office Supplies,Paper,P14,6.54,1,6.54,10
15,7/16/2021,CS114,Punjab,Furniture,Furnishings,P15,25.58,3,76.73,6
16,11/9/2022,CS115,Uttar Pradesh,Office Supplies,Binders,P16,1.49,7,10.43,8
17,2/12/2020,CS116,Kerala,Office Supplies,Art,P17,4.67,2,9.34,6
18,5/3/2021,CS117,Rajasthan,Technology,Accessories,P18,10.4,3,31.2,10
19,11/30/2023,CS118,Nagaland,Office Supplies,Labels,P19,2.89,1,2.89,7
20,6/20/2021,CS119,,Furniture,Furnishings,P20,51.94,1,51.94,10
21,9/19/2020,CS120,Bihar,Furniture,Furnishings,P21,4.97,2,9.94,1
22,11/22/2022,CS121,Jharkhand,Office Supplies,Envelopes,P22,5.68,2,11.36,9
23,5/14/2022,CS122,Telangana,Office Supplies,Envelopes,P23,16.98,3,50.94,10
24,12/3/2021,CS123,Meghalaya,Technology,Accessories,P24,107.79,6,646.74,6
25,12/21/2020,CS124,Maharashtra,Office Supplies,Binders,P25,1.88,3,5.64,10
26,4/23/2022,CS125,Tripura,Office Supplies,Storage,P26,95.43,6,572.58,10
27,4/23/2022,CS126,Mizoram,Furniture,Chairs,P27,90.99,6,545.94,7
28,6/20/2023,CS127,Chhattisgarh,Office Supplies,Storage,P28,265.17,5,1325.85,6
29,4/29/2021,CS115,Sikkim,Furniture,Bookcases,P29,111.33,3,334,2
30,7/1/2021,CS128,Mizoram,Office Supplies,Art,P30,3.98,5,19.9,4
31,11/22/2023,CS129,Himachal Pradesh,Office Supplies,Paper,P31,5.34,7,37.41,8
32,10/10/2022,CS126,Chhattisgarh,Office Supplies,Binders,P32,1.72,2,3.44,8
33,2/7/2020,CS118,Gujarat,Furniture,Bookcases,P33,15.49,4,61.96,7
34,10/1/2022,CS130,Andhra Pradesh,Technology,Accessories,P34,29.99,5,149.95,6
35,9/6/2021,CS131,Uttarakhand,Furniture,Furnishings,P35,21.18,6,127.1,2
36,9/16/2020,CS132,Mizoram,Technology,Phones,P36,41.4,3,124.2,8
37,9/24/2021,CS133,Rajasthan,Office Supplies,Binders,P37,9.3,2,18.59,1
38,9/22/2022,CS134,Jharkhand,Office Supplies,Labels,P38,10.02,3,30.07,7
39,12/2/2022,CS134,Arunachal Pradesh,Office Supplies,Appliances,P39,16.22,4,64.86,5
40,5/13/2021,CS133,West Bengal,Office Supplies,Binders,P40,3.23,10,32.34,5
41,11/13/2020,CS135,Tripura,Office Supplies,Paper,P41,14.02,4,56.06,9
42,4/20/2021,CS129,Jharkhand,Office Supplies,Envelopes,P42,21.74,5,108.72,3
43,6/4/2022,CS136,Punjab,Furniture,Bookcases,P43,36.29,5,181.47,6
